tweets;related;rainfall (mm/30min);Next batch rainfall (mm/30min);Next batch rainfall class
5;0;0.0;0.0;fraca
16;0;0.0;0.0;fraca
1;0;0.0;0.2;fraca
9;0;0.0;0.0;fraca
0;0;0.0;0.0;fraca
8;0;0.0;0.0;fraca
13;0;0.0;0.0;fraca
1;0;0.4;0.6;fraca
10;0;0.0;0.0;fraca
1;0;0.2;0.4;fraca
21;0;0.0;0.0;fraca
3;0;0.6;0.4;fraca
1;0;0.0;0.0;fraca
5;0;0.2;0.2;fraca
0;0;0.2;0.2;fraca
10;0;0.0;0.0;fraca
15;0;0.0;0.0;fraca
14;0;0.0;0.0;fraca
9;0;0.0;0.0;fraca
3;0;0.0;0.0;fraca
0;0;0.2;0.2;fraca
7;0;0.0;0.0;fraca
0;0;0.0;0.0;fraca
3;0;0.0;0.0;fraca
10;0;0.0;0.0;fraca
10;0;0.4;0.2;fraca
8;0;0.6;0.4;fraca
0;0;0.2;0.2;fraca
12;0;0.2;0.2;fraca
9;0;0.4;0.2;fraca
11;0;0.0;0.0;fraca
2;0;0.6;0.6;fraca
8;0;0.4;0.4;fraca
8;0;0.0;0.0;fraca
13;0;0.0;0.0;fraca
1;0;0.4;0.4;fraca
7;0;0.2;0.2;fraca
0;0;0.0;0.0;fraca
14;0;0.4;0.4;fraca
0;0;0.2;0.2;fraca
0;0;0.0;0.2;fraca
4;0;0.0;0.2;fraca
12;0;0.0;0.0;fraca
0;0;0.0;0.0;fraca
14;0;0.0;0.0;fraca
4;0;0.2;0.2;fraca
0;0;0.2;0.2;fraca
0;0;0.2;0.2;fraca
9;0;0.0;0.0;fraca
6;0;0.0;0.0;fraca
2;0;0.0;0.0;fraca
16;0;0.4;0.6;fraca
6;0;0.2;0.2;fraca
4;0;0.0;0.0;fraca
8;0;0.0;0.0;fraca
1;0;0.0;0.0;fraca
7;0;0.0;0.0;fraca
2;0;0.0;0.2;fraca
11;0;0.0;0.0;fraca
0;0;0.2;0.2;fraca
8;0;0.6;0.6;fraca
1;0;0.2;0.2;fraca
7;0;0.0;0.0;fraca
6;0;0.0;0.0;fraca
5;0;0.0;0.2;fraca
0;0;0.0;0.0;fraca
8;0;0.4;0.2;fraca
6;0;0.0;0.0;fraca
6;0;0.0;0.0;fraca
35;0;0.0;0.0;fraca
0;0;0.2;0.2;fraca
13;0;0.4;0.2;fraca
3;0;0.0;0.0;fraca
3;0;0.0;0.0;fraca
6;0;1.37;1.17;fraca
0;0;0.0;0.0;fraca
0;0;0.0;0.0;fraca
5;0;0.0;0.0;fraca
0;0;0.6;0.6;fraca
9;0;0.0;0.0;fraca
0;0;0.6;0.4;fraca
7;0;0.0;0.0;fraca
1;0;0.0;0.0;fraca
2;0;0.2;0.2;fraca
21;0;0.4;0.4;fraca
1;0;0.0;0.0;fraca
8;0;0.2;0.4;fraca
7;0;0.0;0.0;fraca
9;0;0.0;0.0;fraca
0;0;0.0;0.0;fraca
3;0;0.0;0.0;fraca
3;0;0.0;0.0;fraca
2;0;0.0;0.0;fraca
4;0;0.2;0.0;fraca
4;0;0.2;0.4;fraca
3;0;0.2;0.2;fraca
6;0;0.0;0.0;fraca
8;0;0.2;0.2;fraca
20;0;0.0;0.0;fraca
0;0;0.0;0.0;fraca
0;0;0.0;0.0;fraca
0;0;0.2;0.0;fraca
5;0;0.2;0.2;fraca
8;0;0.0;0.0;fraca
1;0;0.0;0.0;fraca
1;0;0.6;0.6;fraca
4;0;0.0;0.0;fraca
23;0;0.0;0.0;fraca
14;0;0.0;0.0;fraca
0;0;0.0;0.0;fraca
6;0;0.2;0.2;fraca
9;0;0.4;0.4;fraca
2;0;0.0;0.0;fraca
1;0;0.2;0.2;fraca
9;0;0.0;0.0;fraca
6;0;0.0;0.0;fraca
1;0;0.0;0.0;fraca
4;0;0.0;0.0;fraca
18;0;0.0;0.0;fraca
23;0;0.0;0.0;fraca
5;0;0.0;0.0;fraca
7;0;0.0;0.0;fraca
2;0;0.2;0.2;fraca
1;0;0.79;0.6;fraca
3;0;0.0;0.0;fraca
9;0;0.0;0.0;fraca
0;0;0.2;0.2;fraca
12;0;0.4;0.4;fraca
3;0;0.2;0.2;fraca
9;0;0.0;0.0;fraca
6;0;0.79;0.6;fraca
10;0;0.2;0.2;fraca
0;0;0.4;0.2;fraca
18;0;0.0;0.0;fraca
4;0;0.0;0.0;fraca
4;0;0.0;0.0;fraca
19;0;0.0;0.0;fraca
4;0;0.0;0.0;fraca
8;0;0.0;0.0;fraca
4;0;0.2;0.0;fraca
3;0;0.0;0.0;fraca
8;0;0.0;0.0;fraca
6;0;0.4;0.4;fraca
5;0;0.0;0.0;fraca
13;0;0.98;0.79;fraca
10;0;0.0;0.0;fraca
4;0;0.4;0.6;fraca
