hour;minute;tweets;related;rainfall class;Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall class;Next batch rainfall class
12;30;0;0;0.0;0.5217391304347826;1.0;0.0;0.0;0.0;0
15;30;0;0;0.0;0.6521739130434783;1.0;0.0;0.0;0.0;0
8;0;0;0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0
14;30;0;0;0.0;0.6086956521739131;1.0;0.0;0.0;0.0;0
6;30;0;0;0.0;0.2608695652173913;1.0;0.0;0.0;0.0;0
17;30;1;0;0.0;0.7391304347826086;1.0;0.03125;0.0;0.0;0
12;0;0;0;0.0;0.5217391304347826;0.0;0.0;0.0;0.0;0
13;0;0;0;0.0;0.5652173913043478;0.0;0.0;0.0;0.0;0
10;30;0;0;0.0;0.43478260869565216;1.0;0.0;0.0;0.0;0
17;30;0;0;0.0;0.7391304347826086;1.0;0.0;0.0;0.0;0
12;30;0;0;0.0;0.5217391304347826;1.0;0.0;0.0;0.0;0
10;30;0;0;0.0;0.43478260869565216;1.0;0.0;0.0;0.0;0
8;0;0;0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0
1;0;0;0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0
2;0;1;0;0.0;0.08695652173913043;0.0;0.03125;0.0;0.0;0
9;30;1;0;0.0;0.391304347826087;1.0;0.03125;0.0;0.0;0
4;0;0;0;0.2;0.17391304347826086;0.0;0.0;0.0;0.015163002274450343;1
17;30;1;0;0.0;0.7391304347826086;1.0;0.03125;0.0;0.0;0
20;30;0;0;0.0;0.8695652173913043;1.0;0.0;0.0;0.0;0
23;30;0;0;0.2;1.0;1.0;0.0;0.0;0.015163002274450343;0
0;30;1;0;0.0;0.0;1.0;0.03125;0.0;0.0;0
5;0;0;0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0
6;30;0;0;0.0;0.2608695652173913;1.0;0.0;0.0;0.0;0
10;30;0;0;0.0;0.43478260869565216;1.0;0.0;0.0;0.0;0
8;0;0;0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0
21;30;2;0;0.0;0.9130434782608695;1.0;0.0625;0.0;0.0;0
15;0;0;0;0.0;0.6521739130434783;0.0;0.0;0.0;0.0;0
1;0;4;0;0.0;0.043478260869565216;0.0;0.125;0.0;0.0;0
2;0;0;0;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0
14;0;0;0;0.0;0.6086956521739131;0.0;0.0;0.0;0.0;0
5;30;0;0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0
5;0;0;0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0
22;0;0;0;0.6;0.9565217391304348;0.0;0.0;0.0;0.045489006823351025;0
13;30;0;0;0.0;0.5652173913043478;1.0;0.0;0.0;0.0;0
2;0;1;0;0.0;0.08695652173913043;0.0;0.03125;0.0;0.0;0
16;0;0;0;0.0;0.6956521739130435;0.0;0.0;0.0;0.0;0
23;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0
8;30;0;0;0.0;0.34782608695652173;1.0;0.0;0.0;0.0;0
22;0;1;0;0.0;0.9565217391304348;0.0;0.03125;0.0;0.0;0
6;30;0;0;0.2;0.2608695652173913;1.0;0.0;0.0;0.015163002274450343;0
15;0;0;0;0.0;0.6521739130434783;0.0;0.0;0.0;0.0;0
23;30;0;0;0.4;1.0;1.0;0.0;0.0;0.030326004548900685;0
9;30;0;0;0.0;0.391304347826087;1.0;0.0;0.0;0.0;0
12;30;0;0;0.0;0.5217391304347826;1.0;0.0;0.0;0.0;0
18;0;2;0;4.11;0.782608695652174;0.0;0.0625;0.0;0.3115996967399545;1
4;0;0;0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0
2;0;0;0;0.2;0.08695652173913043;0.0;0.0;0.0;0.015163002274450343;0
23;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0
6;30;0;0;0.0;0.2608695652173913;1.0;0.0;0.0;0.0;0
7;0;0;0;0.0;0.30434782608695654;0.0;0.0;0.0;0.0;0
9;0;0;0;0.0;0.391304347826087;0.0;0.0;0.0;0.0;0
6;0;0;0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0
11;30;0;0;0.0;0.4782608695652174;1.0;0.0;0.0;0.0;0
5;30;0;0;0.79;0.21739130434782608;1.0;0.0;0.0;0.059893858984078854;0
22;30;0;0;0.79;0.9565217391304348;1.0;0.0;0.0;0.059893858984078854;0
12;0;0;0;0.0;0.5217391304347826;0.0;0.0;0.0;0.0;0
21;0;1;0;0.0;0.9130434782608695;0.0;0.03125;0.0;0.0;0
17;0;0;0;0.0;0.7391304347826086;0.0;0.0;0.0;0.0;0
13;30;1;0;0.0;0.5652173913043478;1.0;0.03125;0.0;0.0;0
8;30;0;0;0.59;0.34782608695652173;1.0;0.0;0.0;0.04473085670962851;0
8;30;0;0;0.0;0.34782608695652173;1.0;0.0;0.0;0.0;0
2;30;0;0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0
15;30;0;0;0.0;0.6521739130434783;1.0;0.0;0.0;0.0;0
8;0;0;0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0
19;0;0;0;0.0;0.8260869565217391;0.0;0.0;0.0;0.0;0
19;0;0;0;0.2;0.8260869565217391;0.0;0.0;0.0;0.015163002274450343;0
19;0;1;0;0.0;0.8260869565217391;0.0;0.03125;0.0;0.0;1
16;0;0;0;0.2;0.6956521739130435;0.0;0.0;0.0;0.015163002274450343;0
8;30;0;0;0.0;0.34782608695652173;1.0;0.0;0.0;0.0;0
5;0;0;0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0
2;0;0;0;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0
18;30;0;0;0.0;0.782608695652174;1.0;0.0;0.0;0.0;0
11;0;0;0;0.0;0.4782608695652174;0.0;0.0;0.0;0.0;0
2;0;0;0;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0
6;0;0;0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0
22;30;0;0;0.0;0.9565217391304348;1.0;0.0;0.0;0.0;0
16;30;0;0;0.0;0.6956521739130435;1.0;0.0;0.0;0.0;0
17;30;0;0;0.0;0.7391304347826086;1.0;0.0;0.0;0.0;0
