hour;minute;tweets;related;rainfall (mm/30min);Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Next batch rainfall (mm/30min);Next batch rainfall class
8;0;14;0;0.0;0.34782608695652173;0.0;0.24561403508771928;0.0;0.0;0.0;0
19;30;12;0;2.75;0.8260869565217391;1.0;0.21052631578947367;0.0;0.07575757575757576;1.97;0
10;0;17;0;0.0;0.43478260869565216;0.0;0.2982456140350877;0.0;0.0;0.0;0
2;0;3;0;0.0;0.08695652173913043;0.0;0.05263157894736842;0.0;0.0;0.0;0
14;30;14;0;0.0;0.6086956521739131;1.0;0.24561403508771928;0.0;0.0;0.0;0
7;30;4;0;0.0;0.30434782608695654;1.0;0.07017543859649122;0.0;0.0;0.0;0
2;30;0;0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0.2;0
11;0;10;0;0.0;0.4782608695652174;0.0;0.17543859649122806;0.0;0.0;0.0;0
8;0;8;0;0.0;0.34782608695652173;0.0;0.14035087719298245;0.0;0.0;0.0;0
22;0;10;0;0.0;0.9565217391304348;0.0;0.17543859649122806;0.0;0.0;0.0;0
22;30;18;0;0.0;0.9565217391304348;1.0;0.3157894736842105;0.0;0.0;0.0;0
10;30;38;0;0.0;0.43478260869565216;1.0;0.6666666666666666;0.0;0.0;0.0;0
5;30;0;0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0;0
9;0;12;0;0.0;0.391304347826087;0.0;0.21052631578947367;0.0;0.0;0.0;0
17;0;4;0;0.0;0.7391304347826086;0.0;0.07017543859649122;0.0;0.0;0.0;0
18;0;22;0;0.0;0.782608695652174;0.0;0.38596491228070173;0.0;0.0;0.0;0
22;30;17;0;0.79;0.9565217391304348;1.0;0.2982456140350877;0.0;0.021763085399449038;0.2;0
12;0;17;0;0.0;0.5217391304347826;0.0;0.2982456140350877;0.0;0.0;0.0;0
20;30;11;0;0.0;0.8695652173913043;1.0;0.19298245614035087;0.0;0.0;0.0;0
22;30;18;0;0.0;0.9565217391304348;1.0;0.3157894736842105;0.0;0.0;0.0;0
16;0;13;0;0.0;0.6956521739130435;0.0;0.22807017543859648;0.0;0.0;0.0;0
21;30;0;0;1.77;0.9130434782608695;1.0;0.0;0.0;0.0487603305785124;0.6;0
5;30;1;0;0.0;0.21739130434782608;1.0;0.017543859649122806;0.0;0.0;0.0;0
6;30;5;0;0.0;0.2608695652173913;1.0;0.08771929824561403;0.0;0.0;0.0;0
22;30;11;0;0.0;0.9565217391304348;1.0;0.19298245614035087;0.0;0.0;0.0;0
21;0;20;0;0.0;0.9130434782608695;0.0;0.3508771929824561;0.0;0.0;0.0;0
2;30;2;0;0.2;0.08695652173913043;1.0;0.03508771929824561;0.0;0.005509641873278238;2.36;0
20;30;18;0;0.0;0.8695652173913043;1.0;0.3157894736842105;0.0;0.0;0.0;0
6;0;4;0;0.0;0.2608695652173913;0.0;0.07017543859649122;0.0;0.0;0.0;0
14;30;30;0;0.0;0.6086956521739131;1.0;0.5263157894736842;0.0;0.0;0.0;0
18;30;22;0;0.0;0.782608695652174;1.0;0.38596491228070173;0.0;0.0;0.0;0
12;0;1;0;0.0;0.5217391304347826;0.0;0.017543859649122806;0.0;0.0;0.0;0
15;0;23;0;0.0;0.6521739130434783;0.0;0.40350877192982454;0.0;0.0;0.0;0
4;0;0;0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0;0
3;0;5;0;0.0;0.13043478260869565;0.0;0.08771929824561403;0.0;0.0;0.0;0
15;30;8;1;0.4;0.6521739130434783;1.0;0.14035087719298245;0.25;0.011019283746556476;0.59;0
19;0;29;0;0.0;0.8260869565217391;0.0;0.5087719298245614;0.0;0.0;0.0;0
11;0;10;0;0.0;0.4782608695652174;0.0;0.17543859649122806;0.0;0.0;0.0;0
3;0;0;0;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0;0
7;0;1;0;0.0;0.30434782608695654;0.0;0.017543859649122806;0.0;0.0;0.0;0
21;30;25;0;0.0;0.9130434782608695;1.0;0.43859649122807015;0.0;0.0;0.0;0
21;0;27;0;0.0;0.9130434782608695;0.0;0.47368421052631576;0.0;0.0;0.0;0
9;30;5;0;0.0;0.391304347826087;1.0;0.08771929824561403;0.0;0.0;0.0;0
8;0;2;0;0.2;0.34782608695652173;0.0;0.03508771929824561;0.0;0.005509641873278238;0.0;0
2;0;1;0;0.0;0.08695652173913043;0.0;0.017543859649122806;0.0;0.0;0.0;0
22;0;3;0;0.0;0.9565217391304348;0.0;0.05263157894736842;0.0;0.0;0.0;0
4;30;0;0;1.37;0.17391304347826086;1.0;0.0;0.0;0.03774104683195593;3.35;1
