hour;minute;tweets;related;rainfall (mm/30min);precision;recall;Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Normalized precision;Normalized recall;Next batch rainfall (mm/30min);Next batch rainfall class
21;0;6;0;0.0;0.0;0.0;0.9130434782608695;0.0;0.0759493670886076;0.0;0.0;0.0;0.0;0.0;0
3;0;1;0;0.0;0.0;0.0;0.13043478260869565;0.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
19;0;6;0;0.0;0.0;0.0;0.8260869565217391;0.0;0.0759493670886076;0.0;0.0;0.0;0.0;3.93;1
15;0;1;0;0.0;0.0;0.0;0.6521739130434783;0.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
16;30;0;0;0.0;0.0;0.0;0.6956521739130435;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
15;0;0;0;0.0;0.0;0.0;0.6521739130434783;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0
2;30;0;0;0.0;0.0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
5;0;0;0;0.0;0.0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
0;0;1;0;0.4;0.0;0.0;0.0;0.0;0.012658227848101266;0.0;0.013559322033898306;0.0;0.0;2.56;1
14;0;5;0;0.0;0.0;0.0;0.6086956521739131;0.0;0.06329113924050633;0.0;0.0;0.0;0.0;0.0;0
10;30;0;0;0.0;0.0;0.0;0.43478260869565216;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
10;30;1;0;0.39;0.0;0.0;0.43478260869565216;1.0;0.012658227848101266;0.0;0.013220338983050847;0.0;0.0;1.18;0
13;0;2;0;0.0;0.0;0.0;0.5652173913043478;0.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
5;0;0;0;0.0;0.0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
6;0;0;0;0.0;0.0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
11;30;2;0;0.0;0.0;0.0;0.4782608695652174;1.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
5;30;0;0;0.0;0.0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
17;0;3;0;0.0;0.0;0.0;0.7391304347826086;0.0;0.0379746835443038;0.0;0.0;0.0;0.0;0.0;0
0;30;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
4;0;0;0;0.0;0.0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
20;30;2;0;0.0;0.0;0.0;0.8695652173913043;1.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
13;30;7;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.5652173913043478;1.0;0.08860759493670886;1.0;0.0;1.0;1.0;0.0;0
19;0;4;0;0.0;0.0;0.0;0.8260869565217391;0.0;0.05063291139240506;0.0;0.0;0.0;0.0;0.0;0
23;30;1;0;0.0;0.0;0.0;1.0;1.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
5;30;0;0;0.0;0.0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2;0;2;0;0.0;0.0;0.0;0.08695652173913043;0.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
1;0;4;0;0.0;0.0;0.0;0.043478260869565216;0.0;0.05063291139240506;0.0;0.0;0.0;0.0;0.0;0
13;30;4;0;0.0;0.0;0.0;0.5652173913043478;1.0;0.05063291139240506;0.0;0.0;0.0;0.0;0.0;0
17;30;2;0;0.2;0.0;0.0;0.7391304347826086;1.0;0.02531645569620253;0.0;0.006779661016949153;0.0;0.0;0.0;0
12;0;3;0;0.0;0.0;0.0;0.5217391304347826;0.0;0.0379746835443038;0.0;0.0;0.0;0.0;0.0;0
22;30;0;0;0.6;0.0;0.0;0.9565217391304348;1.0;0.0;0.0;0.020338983050847456;0.0;0.0;0.2;0
19;30;1;0;0.0;0.0;0.0;0.8260869565217391;1.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
6;30;0;0;0.0;0.0;0.0;0.2608695652173913;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
6;0;0;0;0.4;0.0;0.0;0.2608695652173913;0.0;0.0;0.0;0.013559322033898306;0.0;0.0;0.2;0
13;0;0;0;0.0;0.0;0.0;0.5652173913043478;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
13;0;3;0;0.0;0.0;0.0;0.5652173913043478;0.0;0.0379746835443038;0.0;0.0;0.0;0.0;0.0;0
20;30;2;0;0.0;0.0;0.0;0.8695652173913043;1.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
16;30;1;0;0.0;0.0;0.0;0.6956521739130435;1.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
13;0;4;0;0.0;0.0;0.0;0.5652173913043478;0.0;0.05063291139240506;0.0;0.0;0.0;0.0;0.0;0
3;0;0;0;0.2;0.0;0.0;0.13043478260869565;0.0;0.0;0.0;0.006779661016949153;0.0;0.0;0.2;0
9;0;0;0;0.0;0.0;0.0;0.391304347826087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
0;30;1;0;0.0;0.0;0.0;0.0;1.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
22;30;3;0;0.0;0.0;0.0;0.9565217391304348;1.0;0.0379746835443038;0.0;0.0;0.0;0.0;0.0;0
16;30;4;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.6956521739130435;1.0;0.05063291139240506;1.0;0.0;1.0;1.0;21.88;2
6;0;0;0;0.0;0.0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0
14;0;6;0;0.0;0.0;0.0;0.6086956521739131;0.0;0.0759493670886076;0.0;0.0;0.0;0.0;0.0;0
20;30;6;0;0.0;0.0;0.0;0.8695652173913043;1.0;0.0759493670886076;0.0;0.0;0.0;0.0;0.0;0
15;0;5;0;0.0;0.0;0.0;0.6521739130434783;0.0;0.06329113924050633;0.0;0.0;0.0;0.0;0.0;0
13;30;4;0;0.0;0.0;0.0;0.5652173913043478;1.0;0.05063291139240506;0.0;0.0;0.0;0.0;0.0;0
18;30;2;0;0.0;0.0;0.0;0.782608695652174;1.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
2;0;0;0;0.0;0.0;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
10;0;1;0;0.0;0.0;0.0;0.43478260869565216;0.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.6;0
10;30;1;0;0.4;0.0;0.0;0.43478260869565216;1.0;0.012658227848101266;0.0;0.013559322033898306;0.0;0.0;0.4;0
3;0;0;0;0.0;0.0;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
5;30;1;0;0.0;0.0;0.0;0.21739130434782608;1.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
14;0;4;0;0.0;0.0;0.0;0.6086956521739131;0.0;0.05063291139240506;0.0;0.0;0.0;0.0;0.0;0
17;30;2;0;0.0;0.0;0.0;0.7391304347826086;1.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
2;30;0;0;0.0;0.0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
9;30;1;0;0.0;0.0;0.0;0.391304347826087;1.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
5;0;0;0;0.0;0.0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
19;30;3;0;3.93;0.0;0.0;0.8260869565217391;1.0;0.0379746835443038;0.0;0.13322033898305086;0.0;0.0;1.38;0
6;30;0;0;0.0;0.0;0.0;0.2608695652173913;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
4;0;0;0;0.0;0.0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
10;0;5;0;0.0;0.0;0.0;0.43478260869565216;0.0;0.06329113924050633;0.0;0.0;0.0;0.0;0.0;0
6;0;0;0;0.0;0.0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0.0;0.0;0.42;0
5;0;0;0;0.82;0.0;0.0;0.21739130434782608;0.0;0.0;0.0;0.027796610169491524;0.0;0.0;1.77;0
18;30;8;0;0.0;0.0;0.0;0.782608695652174;1.0;0.10126582278481013;0.0;0.0;0.0;0.0;0.0;0
22;0;0;0;0.0;0.0;0.0;0.9565217391304348;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
9;30;1;0;0.0;0.0;0.0;0.391304347826087;1.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
23;30;0;0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1;30;5;0;0.0;0.0;0.0;0.043478260869565216;1.0;0.06329113924050633;0.0;0.0;0.0;0.0;0.0;0
22;0;1;0;1.01;0.0;0.0;0.9565217391304348;0.0;0.012658227848101266;0.0;0.03423728813559322;0.0;0.0;0.0;0
14;30;7;0;0.0;0.0;0.0;0.6086956521739131;1.0;0.08860759493670886;0.0;0.0;0.0;0.0;0.0;0
9;30;1;0;0.0;0.0;0.0;0.391304347826087;1.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
0;0;3;0;0.0;0.0;0.0;0.0;0.0;0.0379746835443038;0.0;0.0;0.0;0.0;0.0;0
22;30;5;0;0.0;0.0;0.0;0.9565217391304348;1.0;0.06329113924050633;0.0;0.0;0.0;0.0;0.0;0
18;0;3;0;0.0;0.0;0.0;0.782608695652174;0.0;0.0379746835443038;0.0;0.0;0.0;0.0;0.0;0
21;0;2;0;0.0;0.0;0.0;0.9130434782608695;0.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
16;30;4;0;0.0;0.0;0.0;0.6956521739130435;1.0;0.05063291139240506;0.0;0.0;0.0;0.0;0.0;0
17;30;6;0;0.0;0.0;0.0;0.7391304347826086;1.0;0.0759493670886076;0.0;0.0;0.0;0.0;0.0;0
20;0;0;0;2.56;0.0;0.0;0.8695652173913043;0.0;0.0;0.0;0.08677966101694916;0.0;0.0;3.15;1
0;30;2;0;0.0;0.0;0.0;0.0;1.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
22;30;2;0;0.0;0.0;0.0;0.9565217391304348;1.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
20;30;9;0;0.0;0.0;0.0;0.8695652173913043;1.0;0.11392405063291139;0.0;0.0;0.0;0.0;0.0;0
14;0;3;0;0.0;0.0;0.0;0.6086956521739131;0.0;0.0379746835443038;0.0;0.0;0.0;0.0;0.0;0
6;30;0;0;0.0;0.0;0.0;0.2608695652173913;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
20;0;2;0;0.0;0.0;0.0;0.8695652173913043;0.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
5;30;2;0;0.0;0.0;0.0;0.21739130434782608;1.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
4;30;0;0;0.0;0.0;0.0;0.17391304347826086;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
15;30;2;0;0.79;0.0;0.0;0.6521739130434783;1.0;0.02531645569620253;0.0;0.026779661016949154;0.0;0.0;0.59;0
14;30;2;0;0.0;0.0;0.0;0.6086956521739131;1.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
15;0;3;0;0.0;0.0;0.0;0.6521739130434783;0.0;0.0379746835443038;0.0;0.0;0.0;0.0;0.0;0
0;0;1;0;0.62;0.0;0.0;0.0;0.0;0.012658227848101266;0.0;0.02101694915254237;0.0;0.0;0.4;0
19;0;5;0;0.0;0.0;0.0;0.8260869565217391;0.0;0.06329113924050633;0.0;0.0;0.0;0.0;0.0;0
14;0;11;0;0.0;0.0;0.0;0.6086956521739131;0.0;0.13924050632911392;0.0;0.0;0.0;0.0;0.0;0
1;0;1;0;0.0;0.0;0.0;0.043478260869565216;0.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
19;30;1;0;0.0;0.0;0.0;0.8260869565217391;1.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
17;0;0;0;0.0;0.0;0.0;0.7391304347826086;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0
19;0;4;0;0.0;0.0;0.0;0.8260869565217391;0.0;0.05063291139240506;0.0;0.0;0.0;0.0;0.0;0
22;0;3;0;0.0;0.0;0.0;0.9565217391304348;0.0;0.0379746835443038;0.0;0.0;0.0;0.0;0.0;0
16;0;2;0;0.0;0.0;0.0;0.6956521739130435;0.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
21;30;6;0;0.0;0.0;0.0;0.9130434782608695;1.0;0.0759493670886076;0.0;0.0;0.0;0.0;2.55;1
10;0;4;0;0.0;0.0;0.0;0.43478260869565216;0.0;0.05063291139240506;0.0;0.0;0.0;0.0;0.0;0
23;0;1;0;0.0;0.0;0.0;1.0;0.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
20;30;0;0;0.0;0.0;0.0;0.8695652173913043;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
18;0;3;0;0.0;0.0;0.0;0.782608695652174;0.0;0.0379746835443038;0.0;0.0;0.0;0.0;0.0;0
0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
22;30;5;0;0.0;0.0;0.0;0.9565217391304348;1.0;0.06329113924050633;0.0;0.0;0.0;0.0;0.0;0
9;30;3;0;0.0;0.0;0.0;0.391304347826087;1.0;0.0379746835443038;0.0;0.0;0.0;0.0;0.0;0
22;30;0;0;0.0;0.0;0.0;0.9565217391304348;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1;30;0;0;0.0;0.0;0.0;0.043478260869565216;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
4;30;0;0;0.0;0.0;0.0;0.17391304347826086;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
7;0;0;0;0.0;0.0;0.0;0.30434782608695654;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
22;30;9;0;0.0;0.0;0.0;0.9565217391304348;1.0;0.11392405063291139;0.0;0.0;0.0;0.0;0.0;0
13;30;1;0;0.0;0.0;0.0;0.5652173913043478;1.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
15;0;1;0;0.99;0.0;0.0;0.6521739130434783;0.0;0.012658227848101266;0.0;0.0335593220338983;0.0;0.0;0.2;0
15;30;3;0;0.0;0.0;0.0;0.6521739130434783;1.0;0.0379746835443038;0.0;0.0;0.0;0.0;0.0;0
17;0;0;0;0.0;0.0;0.0;0.7391304347826086;0.0;0.0;0.0;0.0;0.0;0.0;29.5;3
11;30;1;0;0.0;0.0;0.0;0.4782608695652174;1.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
21;30;5;0;0.0;0.0;0.0;0.9130434782608695;1.0;0.06329113924050633;0.0;0.0;0.0;0.0;0.0;0
1;30;0;0;0.0;0.0;0.0;0.043478260869565216;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2;30;6;0;0.0;0.0;0.0;0.08695652173913043;1.0;0.0759493670886076;0.0;0.0;0.0;0.0;0.0;0
5;0;0;0;0.0;0.0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1;30;0;0;0.81;0.0;0.0;0.043478260869565216;1.0;0.0;0.0;0.02745762711864407;0.0;0.0;0.2;0
1;0;0;0;0.0;0.0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
23;30;0;0;0.2;0.0;0.0;1.0;1.0;0.0;0.0;0.006779661016949153;0.0;0.0;0.4;0
22;0;0;0;0.0;0.0;0.0;0.9565217391304348;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
18;0;2;0;0.0;0.0;0.0;0.782608695652174;0.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
4;0;0;0;0.0;0.0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
16;0;4;0;0.0;0.0;0.0;0.6956521739130435;0.0;0.05063291139240506;0.0;0.0;0.0;0.0;0.0;0
1;0;0;0;0.0;0.0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
10;30;1;0;0.0;0.0;0.0;0.43478260869565216;1.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
13;0;1;0;0.0;0.0;0.0;0.5652173913043478;0.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
1;0;0;0;0.0;0.0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
12;0;2;0;0.0;0.0;0.0;0.5217391304347826;0.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
10;30;3;0;0.0;0.0;0.0;0.43478260869565216;1.0;0.0379746835443038;0.0;0.0;0.0;0.0;0.0;0
0;0;2;0;0.0;0.0;0.0;0.0;0.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
14;30;4;0;0.0;0.0;0.0;0.6086956521739131;1.0;0.05063291139240506;0.0;0.0;0.0;0.0;0.0;0
17;0;6;0;0.0;0.0;0.0;0.7391304347826086;0.0;0.0759493670886076;0.0;0.0;0.0;0.0;0.0;0
15;0;5;0;0.0;0.0;0.0;0.6521739130434783;0.0;0.06329113924050633;0.0;0.0;0.0;0.0;0.0;0
4;0;0;0;0.0;0.0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
10;30;1;0;0.0;0.0;0.0;0.43478260869565216;1.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
15;0;2;0;0.0;0.0;0.0;0.6521739130434783;0.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
16;30;1;0;0.0;0.0;0.0;0.6956521739130435;1.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
13;30;0;0;0.0;0.0;0.0;0.5652173913043478;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
14;30;1;0;0.0;0.0;0.0;0.6086956521739131;1.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
4;0;0;0;0.0;0.0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
9;0;0;0;0.0;0.0;0.0;0.391304347826087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
9;0;5;0;0.0;0.0;0.0;0.391304347826087;0.0;0.06329113924050633;0.0;0.0;0.0;0.0;0.0;0
9;30;0;0;0.0;0.0;0.0;0.391304347826087;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1;30;0;0;0.0;0.0;0.0;0.043478260869565216;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
7;30;1;0;0.0;0.0;0.0;0.30434782608695654;1.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
22;0;5;0;0.0;0.0;0.0;0.9565217391304348;0.0;0.06329113924050633;0.0;0.0;0.0;0.0;0.0;0
18;30;2;0;0.0;0.0;0.0;0.782608695652174;1.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
23;30;0;0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
5;30;0;0;0.2;0.0;0.0;0.21739130434782608;1.0;0.0;0.0;0.006779661016949153;0.0;0.0;0.0;0
9;30;0;0;0.0;0.0;0.0;0.391304347826087;1.0;0.0;0.0;0.0;0.0;0.0;0.4;0
3;30;0;0;0.0;0.0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
12;30;3;0;0.2;0.0;0.0;0.5217391304347826;1.0;0.0379746835443038;0.0;0.006779661016949153;0.0;0.0;0.0;0
14;30;4;0;0.0;0.0;0.0;0.6086956521739131;1.0;0.05063291139240506;0.0;0.0;0.0;0.0;0.0;0
0;30;1;0;0.0;0.0;0.0;0.0;1.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
11;0;0;0;1.18;0.0;0.0;0.4782608695652174;0.0;0.0;0.0;0.04;0.0;0.0;0.4;0
9;30;0;0;0.0;0.0;0.0;0.391304347826087;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
17;0;2;0;0.0;0.0;0.0;0.7391304347826086;0.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
22;0;4;0;0.0;0.0;0.0;0.9565217391304348;0.0;0.05063291139240506;0.0;0.0;0.0;0.0;0.0;0
0;30;1;0;2.56;0.0;0.0;0.0;1.0;0.012658227848101266;0.0;0.08677966101694916;0.0;0.0;2.56;1
14;30;2;0;0.0;0.0;0.0;0.6086956521739131;1.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
19;0;3;0;0.0;0.0;0.0;0.8260869565217391;0.0;0.0379746835443038;0.0;0.0;0.0;0.0;0.0;0
21;0;2;0;0.0;0.0;0.0;0.9130434782608695;0.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
15;30;0;0;0.0;0.0;0.0;0.6521739130434783;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
0;30;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
20;0;2;0;0.0;0.0;0.0;0.8695652173913043;0.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
15;30;0;0;0.0;0.0;0.0;0.6521739130434783;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
20;30;11;0;0.0;0.0;0.0;0.8695652173913043;1.0;0.13924050632911392;0.0;0.0;0.0;0.0;0.0;0
7;30;0;0;0.79;0.0;0.0;0.30434782608695654;1.0;0.0;0.0;0.026779661016949154;0.0;0.0;0.0;0
6;0;0;0;0.0;0.0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3;30;2;0;0.0;0.0;0.0;0.13043478260869565;1.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
6;0;0;0;0.0;0.0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
19;30;3;0;0.0;0.0;0.0;0.8260869565217391;1.0;0.0379746835443038;0.0;0.0;0.0;0.0;0.0;0
15;0;4;0;0.0;0.0;0.0;0.6521739130434783;0.0;0.05063291139240506;0.0;0.0;0.0;0.0;0.0;0
2;30;0;0;0.0;0.0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
5;0;0;0;0.0;0.0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
7;30;0;0;0.0;0.0;0.0;0.30434782608695654;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
20;30;8;0;1.38;0.0;0.0;0.8695652173913043;1.0;0.10126582278481013;0.0;0.04677966101694915;0.0;0.0;0.0;0
16;0;0;0;0.0;0.0;0.0;0.6956521739130435;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
23;0;0;0;0.59;0.0;0.0;1.0;0.0;0.0;0.0;0.02;0.0;0.0;0.2;0
18;30;2;0;0.0;0.0;0.0;0.782608695652174;1.0;0.02531645569620253;0.0;0.0;0.0;0.0;4.14;1
4;30;0;0;0.0;0.0;0.0;0.17391304347826086;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
10;30;1;0;0.4;0.0;0.0;0.43478260869565216;1.0;0.012658227848101266;0.0;0.013559322033898306;0.0;0.0;0.2;0
6;30;1;0;0.42;0.0;0.0;0.2608695652173913;1.0;0.012658227848101266;0.0;0.01423728813559322;0.0;0.0;1.18;0
11;30;3;0;0.0;0.0;0.0;0.4782608695652174;1.0;0.0379746835443038;0.0;0.0;0.0;0.0;0.0;0
6;0;0;0;0.0;0.0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
10;0;1;0;0.0;0.0;0.0;0.43478260869565216;0.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.4;0
0;0;2;0;0.0;0.0;0.0;0.0;0.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
1;0;10;0;0.0;0.0;0.0;0.043478260869565216;0.0;0.12658227848101267;0.0;0.0;0.0;0.0;0.0;0
7;0;2;0;0.0;0.0;0.0;0.30434782608695654;0.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
12;0;0;0;0.0;0.0;0.0;0.5217391304347826;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
9;30;1;0;0.62;0.0;0.0;0.391304347826087;1.0;0.012658227848101266;0.0;0.02101694915254237;0.0;0.0;0.4;0
12;0;2;0;0.0;0.0;0.0;0.5217391304347826;0.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
16;0;4;0;0.0;0.0;0.0;0.6956521739130435;0.0;0.05063291139240506;0.0;0.0;0.0;0.0;0.0;0
3;30;0;0;0.2;0.0;0.0;0.13043478260869565;1.0;0.0;0.0;0.006779661016949153;0.0;0.0;4.93;1
15;30;6;0;0.0;0.0;0.0;0.6521739130434783;1.0;0.0759493670886076;0.0;0.0;0.0;0.0;0.0;0
17;0;2;0;0.0;0.0;0.0;0.7391304347826086;0.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
12;0;8;0;0.0;0.0;0.0;0.5217391304347826;0.0;0.10126582278481013;0.0;0.0;0.0;0.0;0.0;0
16;0;1;0;0.0;0.0;0.0;0.6956521739130435;0.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
9;0;0;0;0.0;0.0;0.0;0.391304347826087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
15;30;0;0;0.2;0.0;0.0;0.6521739130434783;1.0;0.0;0.0;0.006779661016949153;0.0;0.0;0.0;0
11;0;18;0;0.0;0.0;0.0;0.4782608695652174;0.0;0.22784810126582278;0.0;0.0;0.0;0.0;0.0;0
13;0;0;0;0.0;0.0;0.0;0.5652173913043478;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
9;30;2;0;0.0;0.0;0.0;0.391304347826087;1.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
13;30;1;0;0.0;0.0;0.0;0.5652173913043478;1.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
12;30;1;0;0.2;0.0;0.0;0.5217391304347826;1.0;0.012658227848101266;0.0;0.006779661016949153;0.0;0.0;0.0;0
4;30;0;0;0.0;0.0;0.0;0.17391304347826086;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
21;30;7;0;0.0;0.0;0.0;0.9130434782608695;1.0;0.08860759493670886;0.0;0.0;0.0;0.0;0.0;0
3;30;0;0;0.0;0.0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
11;0;1;0;0.0;0.0;0.0;0.4782608695652174;0.0;0.012658227848101266;0.0;0.0;0.0;0.0;0.0;0
1;0;2;0;0.0;0.0;0.0;0.043478260869565216;0.0;0.02531645569620253;0.0;0.0;0.0;0.0;0.0;0
22;30;6;0;0.0;0.0;0.0;0.9565217391304348;1.0;0.0759493670886076;0.0;0.0;0.0;0.0;0.0;0
10;0;0;0;0.0;0.0;0.0;0.43478260869565216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
15;0;0;0;0.0;0.0;0.0;0.6521739130434783;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1;0;1;0;2.36;0.0;0.0;0.043478260869565216;0.0;0.012658227848101266;0.0;0.08;0.0;0.0;0.0;0
